Position,Best Selling
Oost-Vlaanderen,Oost-Vlaanderen
Vlaams-Brabant,Vlaams-Brabant
West-Vlaanderen,West-Vlaanderen
Cochabamba,Cochabamba
Chuquisaca,Chuquisaca
El Beni,El Beni
La Paz,La Paz
Oruro,Oruro
Pando,Pando
Potosí,Potosí
Santa Cruz,Santa Cruz
Tarija,Tarija
Blagoevgrad,Blagoevgrad
Burgas,Burgas
Varna,Varna
Veliko Tarnovo,Veliko Tarnovo
Vidin,Vidin
Vratsa,Vratsa
Gabrovo,Gabrovo
Dobrich,Dobrich
Kardzhali,Kardzhali
Kyustendil,Kyustendil
Lovech,Lovech
Montana,Montana
Pazardzhik,Pazardzhik
Pernik,Pernik
Pleven,Pleven
Plovdiv,Plovdiv
Razgrad,Razgrad
Ruse,Ruse
Silistra,Silistra
Sliven,Sliven
Smolyan,Smolyan
Sofia City,Sofia City
Sofia Province,Sofia Province
Stara Zagora,Stara Zagora
Targovishte,Targovishte
Haskovo,Haskovo
Shumen,Shumen
Yambol,Yambol
Aisén del General Carlos Ibañez del Campo,Aisén del General Carlos Ibañez del Campo
Antofagasta,Antofagasta
Arica y Parinacota,Arica y Parinacota
La Araucanía,La Araucanía
Atacama,Atacama
Biobío,Biobío
Coquimbo,Coquimbo
Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins
Los Lagos,Los Lagos
Los Ríos,Los Ríos
Magallanes,Magallanes
Maule,Maule
Ñuble,Ñuble
Región Metropolitana de Santiago,Región Metropolitana de Santiago
Tarapacá,Tarapacá
Valparaíso,Valparaíso
Anhui Sheng,Anhui Sheng
Beijing Shi,Beijing Shi
Chongqing Shi,Chongqing Shi
Fujian Sheng,Fujian Sheng
Gansu Sheng,Gansu Sheng
Guangdong Sheng,Guangdong Sheng
Guangxi Zhuangzu Zizhiqu,Guangxi Zhuangzu Zizhiqu
Guizhou Sheng,Guizhou Sheng
Hainan Sheng,Hainan Sheng
Hebei Sheng,Hebei Sheng
Heilongjiang Sheng,Heilongjiang Sheng
Henan Sheng,Henan Sheng
Hong Kong SAR,Hong Kong SAR
Hubei Sheng,Hubei Sheng
Hunan Sheng,Hunan Sheng
Jiangsu Sheng,Jiangsu Sheng
Jiangxi Sheng,Jiangxi Sheng
Jilin Sheng,Jilin Sheng
Liaoning Sheng,Liaoning Sheng
Macao SAR,Macao SAR
Nei Mongol Zizhiqu,Nei Mongol Zizhiqu
Ningxia Huizi Zizhiqu,Ningxia Huizi Zizhiqu
Qinghai Sheng,Qinghai Sheng
Shaanxi Sheng,Shaanxi Sheng
Shandong Sheng,Shandong Sheng
Shanghai Shi,Shanghai Shi
